ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,AGE,YEARS_EMPLOYED,ASSET_SCORE,DIGITAL_SCORE,EXP_BRACKET,AGE_BIN,INC_BIN
5008804,M,1,1,0,427500,Working,Higher education,Civil marriage,Rented apartment,-12005,-4542,1,1,0,0,,2,32,12.4,2,1,10-20yr,"[28, 33)",400-500K
5008805,M,1,1,0,427500,Working,Higher education,Civil marriage,Rented apartment,-12005,-4542,1,1,0,0,,2,32,12.4,2,1,10-20yr,"[28, 33)",400-500K
5008806,M,1,1,0,112500,Working,Secondary / secondary special,Married,House / apartment,-21474,-1134,1,0,0,0,Security staff,2,58,3.1,2,0,2-5yr,"[58, 63)",100-150K
5008808,F,0,1,0,270000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,1,0,1,1,Sales staff,1,52,8.4,1,1,5-10yr,"[48, 53)",250-300K
5008809,F,0,1,0,270000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,1,0,1,1,Sales staff,1,52,8.4,1,1,5-10yr,"[48, 53)",250-300K
5008810,F,0,1,0,270000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,1,0,1,1,Sales staff,1,52,8.4,1,1,5-10yr,"[48, 53)",250-300K
5008811,F,0,1,0,270000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,1,0,1,1,Sales staff,1,52,8.4,1,1,5-10yr,"[48, 53)",250-300K
5008812,F,0,1,0,283500,Pensioner,Higher education,Separated,House / apartment,-22464,365243,1,0,0,0,,1,61,0.0,1,0,Unemployed,"[58, 63)",250-300K
5008813,F,0,1,0,283500,Pensioner,Higher education,Separated,House / apartment,-22464,365243,1,0,0,0,,1,61,0.0,1,0,Unemployed,"[58, 63)",250-300K
5008814,F,0,1,0,283500,Pensioner,Higher education,Separated,House / apartment,-22464,365243,1,0,0,0,,1,61,0.0,1,0,Unemployed,"[58, 63)",250-300K
5008815,M,1,1,0,270000,Working,Higher education,Married,House / apartment,-16872,-769,1,1,1,1,Accountants,2,46,2.1,2,2,2-5yr,"[43, 48)",250-300K
5112956,M,1,1,0,270000,Working,Higher education,Married,House / apartment,-16872,-769,1,1,1,1,Accountants,2,46,2.1,2,2,2-5yr,"[43, 48)",250-300K
6153651,M,1,1,0,270000,Working,Higher education,Married,House / apartment,-16872,-769,1,1,1,1,Accountants,2,46,2.1,2,2,2-5yr,"[43, 48)",250-300K
5008819,M,1,1,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,Laborers,2,48,3.3,2,0,2-5yr,"[48, 53)",100-150K
5008820,M,1,1,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,Laborers,2,48,3.3,2,0,2-5yr,"[48, 53)",100-150K
5008821,M,1,1,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,Laborers,2,48,3.3,2,0,2-5yr,"[48, 53)",100-150K
5008822,M,1,1,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,Laborers,2,48,3.3,2,0,2-5yr,"[48, 53)",100-150K
